"lat","long","id_agrupamento"
-22.87247,-43.80811,0
-22.87248,-43.80808,0
-22.90127,-43.7225,0
-22.90257,-43.71913,0
-22.8918,-43.71856,0
-22.89179,-43.71854,0
-22.89183,-43.71849,0
-22.88961,-43.71724,0
-22.88963,-43.71723,0
-22.88954,-43.71722,0
-22.88959,-43.71721,0
-22.88959,-43.71721,0
-22.88956,-43.7172,0
-22.88957,-43.71718,0
-22.88955,-43.71718,0
-22.88942,-43.71699,0
-22.89034,-43.71695,0
-22.88947,-43.71684,0
-22.88944,-43.71684,0
-22.89027,-43.71684,0
-22.89027,-43.71684,0
-22.89025,-43.71683,0
-22.89029,-43.71682,0
-22.89029,-43.71682,0
-22.89029,-43.71682,0
-22.89025,-43.71682,0
-22.89023,-43.71681,0
-22.89027,-43.71681,0
-22.89027,-43.71681,0
-22.89027,-43.71681,0
-22.89027,-43.71681,0
-22.89027,-43.71681,0
-22.88949,-43.7168,0
-22.89022,-43.7168,0
-22.89024,-43.7168,0
-22.89023,-43.7168,0
-22.89023,-43.7168,0
-22.89023,-43.7168,0
-22.89025,-43.7168,0
-22.89017,-43.71679,0
-22.89021,-43.71679,0
-22.89021,-43.71679,0
-22.89025,-43.71678,0
-22.88958,-43.71676,0
-22.88958,-43.71676,0
-22.88951,-43.71676,0
-22.88952,-43.71676,0
-22.88952,-43.71676,0
-22.88952,-43.71676,0
-22.89021,-43.71676,0
-22.88959,-43.71675,0
-22.89018,-43.71675,0
-22.89021,-43.71674,0
-22.88957,-43.71673,0
-22.88957,-43.71673,0
-22.88956,-43.71672,0
-22.8902,-43.71672,0
-22.8902,-43.71672,0
-22.8902,-43.71672,0
-22.89012,-43.71671,0
-22.88956,-43.71671,0
-22.89014,-43.71671,0
-22.89014,-43.71671,0
-22.89014,-43.71671,0
-22.89014,-43.71671,0
-22.88954,-43.71671,0
-22.8902,-43.7167,0
-22.89014,-43.7167,0
-22.89014,-43.7167,0
-22.89012,-43.71669,0
-22.89014,-43.71669,0
-22.89014,-43.71669,0
-22.89014,-43.71669,0
-22.89014,-43.71669,0
-22.89014,-43.71669,0
-22.89013,-43.71669,0
-22.89013,-43.71669,0
-22.89016,-43.71669,0
-22.89013,-43.71669,0
-22.88953,-43.71669,0
-22.89015,-43.71668,0
-22.89014,-43.71668,0
-22.89018,-43.71668,0
-22.88958,-43.71668,0
-22.89018,-43.71668,0
-22.89013,-43.71668,0
-22.89013,-43.71668,0
-22.89013,-43.71668,0
-22.8901,-43.71668,0
-22.88956,-43.71668,0
-22.89016,-43.71667,0
-22.89015,-43.71667,0
-22.88956,-43.71667,0
-22.89,-43.71667,0
-22.8901,-43.71666,0
-22.89012,-43.71666,0
-22.89012,-43.71666,0
-22.89015,-43.71666,0
-22.88955,-43.71666,0
-22.89015,-43.71666,0
-22.89016,-43.71665,0
-22.89016,-43.71665,0
-22.89013,-43.71665,0
-22.88956,-43.71664,0
-22.89016,-43.71664,0
-22.89015,-43.71664,0
-22.89015,-43.71664,0
-22.89007,-43.71664,0
-22.88958,-43.71663,0
-22.88956,-43.71662,0
-22.88958,-43.71661,0
-22.89009,-43.71661,0
-22.88957,-43.71661,0
-22.89006,-43.7166,0
-22.88958,-43.7166,0
-22.89004,-43.7166,0
-22.8896,-43.7166,0
-22.88961,-43.7166,0
-22.88957,-43.7166,0
-22.88959,-43.7166,0
-22.88959,-43.7166,0
-22.8896,-43.71659,0
-22.88959,-43.71659,0
-22.88961,-43.71659,0
-22.88959,-43.71659,0
-22.8896,-43.71658,0
-22.88961,-43.71658,0
-22.88961,-43.71658,0
-22.88961,-43.71657,0
-22.89013,-43.71656,0
-22.88989,-43.71646,0
-22.90507,-43.7109,0
-22.90508,-43.71087,0
-22.97038,-43.70891,0
-22.97219,-43.7089,0
-22.9676,-43.70604,0
-22.96758,-43.70604,0
-22.96758,-43.70602,0
-22.96759,-43.70602,0
-22.96759,-43.70602,0
-22.96612,-43.70549,0
-22.88898,-43.70496,0
-22.90698,-43.70448,0
-22.96388,-43.7035,0
-22.96382,-43.70338,0
-22.96383,-43.70336,0
-22.96381,-43.70334,0
-22.96382,-43.70331,0
-22.98041,-43.70289,0
-22.98038,-43.70289,0
-22.9232,-43.7021,0
-22.92248,-43.70055,0
-22.92247,-43.7005,0
-22.92245,-43.70046,0
-22.92241,-43.70046,0
-22.92244,-43.70046,0
-22.90917,-43.69698,0
-22.97848,-43.69659,0
-22.97731,-43.69596,0
-22.97682,-43.69567,0
-22.95946,-43.69551,0
-22.97655,-43.69548,0
-22.97654,-43.69546,0
-22.9844,-43.69545,0
-22.98441,-43.69545,0
-22.98437,-43.69545,0
-22.98435,-43.69544,0
-22.98437,-43.69544,0
-22.98439,-43.69543,0
-22.98436,-43.69543,0
-22.98436,-43.69543,0
-22.98441,-43.69542,0
-22.98435,-43.69542,0
-22.98444,-43.6954,0
-22.98439,-43.6954,0
-22.98504,-43.69476,0
-22.97467,-43.69424,0
-22.98479,-43.69409,0
